time,CR_Boron,IntegratedPower,ScaledTotalPower,avg_Tfuel,max_Tfuel
1.69,1.3881e-07,19256585.772684,154155998.88684,307.86463146648,313.56718743263
1.7,1.3881e-07,20851614.471815,164849740.93946,308.50693710557,314.66328420331
1.71,1.3881e-07,22555512.794583,175929923.61406,309.19160281587,315.82979317691
1.72,1.3881e-07,24371926.857099,187352888.88907,309.91981023458,317.06838901306
1.73,1.3881e-07,26304016.489981,199065037.68733,310.69251895497,318.38034190071
1.74,1.3881e-07,28354354.182838,211002500.88414,311.51042776224,319.7664550693
1.75,1.3881e-07,30524821.983367,223091059.22167,312.37393615202,321.22700410684
1.76,1.3881e-07,32816509.075183,235246359.14158,313.28310732803,322.76168017387
1.77,1.3881e-07,35229613.21684,247374469.18981,314.23763401713,324.36953936821
1.78,1.3881e-07,37763349.607763,259372808.9948,315.2368085373,326.04896059076
1.79,1.3881e-07,40415871.002419,271131469.93632,316.27949858771,327.79761422369
1.8,1.3881e-07,43184202.997965,282534929.17285,317.36413019378,329.61244379194
1.81,1.3881e-07,46064198.330485,293464137.33117,318.48867912098,331.48966248432
1.82,1.3881e-07,49050513.686356,303798933.84301,319.65067185801,333.42476597601
1.83,1.3881e-07,52136611.978631,313420724.61204,320.84719697385,335.41256244044
1.84,1.3881e-07,55314792.258618,322215331.38532,322.07492728428,337.44721998649
1.85,1.3881e-07,58576248.429479,330075902.78685,323.33015282785,339.52233102048
1.86,1.3881e-07,61911156.772664,336905765.85013,324.60882418406,341.63099228454
1.87,1.3881e-07,65308791.049665,342621089.55017,325.90660519466,343.76590529251
1.88,1.3881e-07,68757662.672494,347153235.01561,327.21893370199,345.91946449474
1.89,1.3881e-07,72245682.242018,350450678.88927,328.54108853145,348.08388068674
1.9,1.3881e-07,75760337.71367,352480415.44109,329.86826064442,350.25129998102
1.91,1.3881e-07,79288883.644137,353228770.65237,331.19562619614,352.41391912805
1.92,1.3881e-07,82818535.47016,352701594.55211,332.51841916787,354.56410039283
1.93,1.3881e-07,86336662.580916,350923827.59917,333.83200129628,356.69447996818
1.94,1.3881e-07,89830974.11462,347938479.14167,335.13192720364,358.79806685984
1.95,1.3881e-07,93289691.902715,343805078.47733,336.41400291727,360.86832966314
1.96,1.3881e-07,96701705.704638,338597681.90729,337.67433631261,362.89926926892
1.97,1.3881e-07,100056706.85494,332402548.15314,338.90937842961,364.88547625902
1.98,1.3881e-07,103345297.56303,325315593.46513,340.11595505058,366.82217239091
1.99,1.3881e-07,106559074.25062,317439744.05268,341.29128834751,368.70523624041
2,1.3881e-07,109690684.44747,308882295.31749,342.43300880012,370.53121364907
2.01,1.3881e-07,112733857.81956,299752379.09984,343.53915792905,372.29731411009
2.02,1.3881e-07,115683412.81659,290158620.3059,344.60818266691,374.00139460654
2.03,1.3881e-07,118535241.15064,280207046.50385,345.63892239136,375.64193266976

